Movie Name,Genre,Country,Time Line,Opening Date
그린 북,드라마,미국,130분,2019.01.09 개봉
가버나움,드라마,"레바논, 프랑스",126분,2019.01.24 개봉
원더,드라마,미국,113분,"2021.02.11 재개봉,  2017.12.27 개봉"
아일라,"드라마, 전쟁","대한민국, 튀르키예",123분,2018.06.21 개봉
당갈,"드라마, 액션",인도,161분,2018.04.25 개봉
먼 훗날 우리,"드라마, 멜로/로맨스",중국,120분,
쇼생크 탈출,드라마,미국,142분,"2016.02.24 재개봉,  1995.01.28 개봉"
덕구,드라마,대한민국,91분,2018.04.05 개봉
보헤미안 랩소디,드라마,"미국, 영국",134분,2018.10.31 개봉
포레스트 검프,"드라마, 코미디",미국,142분,"2016.09.07 재개봉,  1994.10.15 개봉"
위대한 쇼맨,"드라마, 뮤지컬",미국,104분,"2020.05.21 재개봉,  2017.12.20 개봉"
인생은 아름다워,뮤지컬,대한민국,122분,2022.09.28 개봉
헬프,드라마,미국,146분,2011.11.03 개봉
캐스트 어웨이,"드라마, 모험",미국,143분,2001.02.03 개봉
쉰들러 리스트,"드라마, 전쟁",미국,196분,"2019.01.24 재개봉,  1994.03.05 개봉"
죽은 시인의 사회,드라마,미국,128분,"2021.04.01 재개봉, 2016.08.17 재개봉,  1990.05.19 개봉"
히든 피겨스,드라마,미국,127분,2017.03.23 개봉
집으로...,"드라마, 가족",대한민국,87분,"2019.09.05 재개봉,  2002.04.05 개봉"
여인의 향기,"드라마, 코미디",미국,157분,1993.03.20 개봉
아이 캔 스피크,드라마,대한민국,119분,2017.09.21 개봉
동주,드라마,대한민국,110분,2016.02.17 개봉
굿바이 마이 프랜드,드라마,미국,97분,1996.08.05 개봉
굿 윌 헌팅,드라마,미국,126분,"2016.08.17 재개봉,  1998.03.21 개봉"
미스 슬로운,"드라마, 스릴러",미국,132분,2017.03.29 개봉
자산어보,드라마,대한민국,126분,2021.03.31 개봉
지상의 별처럼,드라마,인도,163분,2012.09.06 개봉
아마데우스,드라마,미국,180분,"2015.10.29 재개봉,  1985.11.23 개봉"
두 교황,드라마,"미국, 영국, 이탈리아, 아르헨티나",126분,2019.12.11 개봉
아이 엠 샘,드라마,미국,132분,2002.10.18 개봉
그대를 사랑합니다,드라마,대한민국,118분,2011.02.17 개봉
빌리 엘리어트,"드라마, 가족, 코미디","영국, 프랑스",110분,"2017.01.18 재개봉,  2001.02.17 개봉"
피아니스트,"드라마, 전쟁","프랑스, 독일, 폴란드, 영국, 네덜란드",148분,"2015.06.18 재개봉,  2003.01.03 개봉"
시네마 천국,"드라마, 멜로/로맨스","프랑스, 이탈리아",124분,"2020.04.22 재개봉, 2013.09.26 재개봉, 1993.11.13 재개봉,  1990.07.07 개봉"
소원,드라마,대한민국,122분,2013.10.02 개봉
우리들의 일그러진 영웅,드라마,대한민국,119분,1992.08.15 개봉
블라인드 사이드,드라마,미국,128분,2010.04.15 개봉
패왕별희 디 오리지널,드라마,"중국, 홍콩",171분,"2021.03.31 재개봉, 2020.05.01 재개봉, 2017.03.30 재개봉,  1993.12.24 개봉"
코러스,드라마,"프랑스, 스위스, 독일",97분,"2010.10.29 재개봉,  2005.03.03 개봉"
뷰티풀 투모로우,드라마,대한민국,68분,2017.10.26 개봉
8월의 크리스마스,"드라마, 멜로/로맨스",대한민국,97분,"2013.11.06 재개봉,  1998.01.24 개봉"
록키,"드라마, 액션",미국,120분,"2017.11.29 재개봉,  1977.06.11 개봉"
일급 살인,"드라마, 범죄",미국,122분,1995.03.18 개봉
달링,"드라마, 멜로/로맨스",영국,118분,2018.04.12 개봉
시월애,"드라마, 멜로/로맨스, 판타지",대한민국,94분,2000.09.09 개봉
인생,드라마,"중국, 대만",132분,1995.05.27 개봉
허스토리,드라마,대한민국,121분,2018.06.27 개봉
내 이름은 칸,드라마,인도,127분,2011.03.24 개봉
"나, 다니엘 블레이크",드라마,"영국, 프랑스, 벨기에",100분,2016.12.08 개봉
천국의 아이들,"드라마, 코미디",이란,87분,"2017.02.09 재개봉,  2001.03.17 개봉"
공동경비구역 JSA,"드라마, 전쟁, 코미디, 미스터리",대한민국,110분,"2015.10.15 재개봉,  2000.09.09 개봉"
반지의 제왕: 왕의 귀환,"판타지, 모험, 액션, 전쟁","뉴질랜드, 미국",263분,"2021.03.18 재개봉, 2017.01.25 재개봉,  2003.12.17 개봉"
해리 포터와 마법사의 돌,"판타지, 가족, 모험, 액션","영국, 미국",152분,"2021.09.15 재개봉, 2018.10.24 재개봉,  2001.12.14 개봉"
반지의 제왕: 두 개의 탑,"판타지, 모험, 액션","뉴질랜드, 미국",235분,"2021.03.18 재개봉, 2017.01.18 재개봉,  2002.12.19 개봉"
반지의 제왕: 반지 원정대,"판타지, 모험, 액션","뉴질랜드, 미국",228분,"2021.03.11 재개봉, 2017.01.11 재개봉,  2001.12.31 개봉"
천녀유혼,"판타지, 공포, 멜로/로맨스, 액션",홍콩,98분,"2019.04.04 재개봉, 2015.03.19 재개봉,  1987.12.25 개봉"
가위손,"판타지, 멜로/로맨스",미국,100분,"2014.05.22 재개봉,  1991.06.29 개봉"
조 블랙의 사랑,"판타지, 미스터리, 멜로/로맨스, 드라마",미국,178분,1998.12.19 개봉
캐리비안의 해적 - 블랙 펄의 저주,"판타지, 코미디, 모험, 액션",미국,143분,2003.09.05 개봉
온워드: 단 하루의 기적,"판타지, 모험",미국,102분,2020.06.17 개봉
천녀유혼 3,"판타지, 공포, 멜로/로맨스, 액션",홍콩,105분,"2015.04.30 재개봉,  1991.08.03 개봉"
벤자민 버튼의 시간은 거꾸로 간다,"판타지, 멜로/로맨스, 드라마",미국,166분,"2017.11.16 재개봉,  2009.02.12 개봉"
천녀유혼 2,"판타지, 공포, 멜로/로맨스",홍콩,103분,"2015.04.09 재개봉,  1990.07.14 개봉"
캐리비안의 해적 - 망자의 함,"판타지, 모험, 액션, 코미디",미국,143분,2006.07.06 개봉
해리 포터와 비밀의 방,"판타지, 가족, 모험, 액션","영국, 미국",162분,"2019.02.20 재개봉,  2002.12.13 개봉"
팀 버튼의 크리스마스 악몽,"판타지, 가족, 뮤지컬",미국,75분,"2006.12.07 재개봉,  1995.01.14 개봉"
스타더스트,"판타지, 모험, 멜로/로맨스, 코미디","영국, 미국",128분,2007.08.15 개봉
드라큐라,"판타지, 공포, 멜로/로맨스",미국,128분,1993.01.16 개봉
찰리와 초콜릿 공장,"판타지, 모험, 코미디, 가족","미국, 영국",114분,2005.09.16 개봉
미녀와 야수,"애니메이션, 가족, 드라마, 판타지, 멜로/로맨스, 뮤지컬",미국,85분,"2012.04.11 재개봉,  1992.07.04 개봉"
해리 포터와 아즈카반의 죄수,"판타지, 가족, 모험, 액션","미국, 영국",141분,"2021.05.05 재개봉, 2020.02.26 재개봉,  2004.07.16 개봉"
스트레인저 댄 픽션,"판타지, 코미디, 드라마, 멜로/로맨스",미국,112분,2007.09.06 개봉
"당신, 거기 있어줄래요","판타지, 드라마",대한민국,111분,2016.12.14 개봉
큐브,"판타지, SF, 공포",캐나다,90분,1999.10.23 개봉
나니아 연대기 - 캐스피언 왕자,"판타지, 모험, 가족","영국, 미국",145분,2008.05.15 개봉
천국의 우편배달부,"판타지, 멜로/로맨스",대한민국,107분,2009.11.11 개봉
13층,"판타지, 미스터리, 멜로/로맨스, SF, 스릴러","독일, 미국",98분,1999.11.27 개봉
천년여우 여우비,"판타지, 가족, 애니메이션",대한민국,85분,2007.01.25 개봉
스파이더위크가의 비밀,"판타지, 모험, 드라마, 가족",미국,95분,2008.02.14 개봉
록키 호러 픽쳐 쇼,"판타지, 코미디, 공포, 뮤지컬","영국, 미국",100분,"2016.10.13 재개봉,  1998.06.20 개봉"
호빗: 다섯 군대 전투,"판타지, 모험","뉴질랜드, 미국",144분,"2021.12.02 재개봉,  2014.12.17 개봉"
호빗 : 스마우그의 폐허,"판타지, 모험, 드라마","미국, 뉴질랜드",161분,"2021.11.24 재개봉,  2013.12.12 개봉"
아더와 미니모이: 제1탄 비밀 원정대의 출정,"판타지, 가족, 모험, 애니메이션","미국, 프랑스",102분,2009.07.09 개봉
미스 페레그린과 이상한 아이들의 집,"판타지, 미스터리",미국,127분,2016.09.28 개봉
호빗 : 뜻밖의 여정,"판타지, 모험","미국, 뉴질랜드",169분,"2021.11.18 재개봉,  2012.12.13 개봉"
존 말코비치 되기,"판타지, 코미디",미국,112분,2000.05.13 개봉
"오늘 밤, 로맨스 극장에서","판타지, 멜로/로맨스",일본,109분,2018.07.11 개봉
불청객,판타지,대한민국,66분,2010.09.30 개봉
헝거게임: 캣칭 파이어,"판타지, 액션",미국,146분,2013.11.21 개봉
비밀,"판타지, 드라마, 멜로/로맨스",일본,119분,"2014.03.27 재개봉,  2002.10.11 개봉"
판의 미로 - 오필리아와 세 개의 열쇠,"판타지, 드라마","미국, 멕시코, 스페인",119분,"2019.05.02 재개봉,  2006.11.30 개봉"
내안의 그놈,"판타지, 코미디",대한민국,122분,2019.01.09 개봉
말레피센트,"판타지, 모험, 드라마",미국,97분,2014.05.29 개봉
캐리비안의 해적 - 세상의 끝에서,"판타지, 모험, 액션, 코미디",미국,168분,2007.05.23 개봉
인랑,"판타지, 스릴러, 액션, 애니메이션",일본,98분,"2019.09.04 재개봉,  2000.12.01 개봉"
경계선,"판타지, 멜로/로맨스, 스릴러","스웨덴, 덴마크",110분,2019.10.24 개봉
슬리피 할로우,"판타지, 스릴러, 액션, 공포",미국,111분,2000.01.29 개봉
신비한 동물사전,"판타지, 모험","영국, 미국",132분,"2022.03.23 재개봉,  2016.11.16 개봉"
메리 포핀스 리턴즈,"판타지, 뮤지컬",미국,130분,2019.02.14 개봉
케이트 앤 레오폴드,"판타지, 멜로/로맨스, 코미디",미국,118분,2003.10.31 개봉
환생,"판타지, 멜로/로맨스",일본,104분,2003.10.31 개봉
뱀파이어와의 인터뷰,"공포, 드라마",미국,123분,1994.12.31 개봉
에이리언,"공포, SF",미국,117분,1987.10.01 개봉
싸이코,"공포, 스릴러, 미스터리",미국,109분,1962.07.28 개봉
죠스,"공포, 스릴러",미국,124분,1978.04.22 개봉
무서운 집,공포,대한민국,98분,"2015.08.08 재개봉,  2015.07.30 개봉"
사탄의 인형,"공포, 스릴러",미국,87분,1991.10.26 개봉
"장화, 홍련","공포, 스릴러",대한민국,118분,2003.06.13 개봉
알 포인트,"공포, 미스터리, 액션, 전쟁",대한민국,106분,2004.08.20 개봉
블레이드 2,"공포, 액션",미국,116분,2002.04.05 개봉
딥 블루 씨,"공포, 스릴러, 액션, SF",미국,104분,1999.09.11 개봉
플라이,"공포, SF, 드라마",미국,100분,1988.08.13 개봉
엑소시스트,공포,미국,132분,"2001.05.19 재개봉,  1975.05.24 개봉"
카메라를 멈추면 안 돼!,"공포, 코미디",일본,95분,2018.08.23 개봉
나이트메어,"공포, 스릴러, 판타지",미국,91분,1985.03.23 개봉
렛 미 인,"공포, 드라마",스웨덴,114분,"2015.12.03 재개봉,  2008.11.13 개봉"
링,"공포, 드라마, 스릴러, 미스터리",일본,98분,1999.12.11 개봉
새벽의 저주,"공포, 스릴러, 드라마, 액션",미국,100분,2004.05.14 개봉
패컬티,"공포, 미스터리, SF",미국,104분,1999.05.22 개봉
오펀: 천사의 비밀,"공포, 미스터리, 스릴러, 드라마","미국, 캐나다, 프랑스, 독일",123분,2009.08.20 개봉
스크림,"공포, 스릴러",미국,111분,1999.01.16 개봉
오멘,"공포, 스릴러, 미스터리",미국,111분,1977.06.03 개봉
쏘우 2,"공포, 스릴러",미국,92분,2006.02.16 개봉
데스티네이션,"공포, 액션, 스릴러, 판타지",미국,97분,2000.06.10 개봉
여고괴담 두번째 이야기,공포,대한민국,98분,1999.12.24 개봉
컨저링 2,공포,미국,134분,2016.06.09 개봉
팬도럼,"공포, SF, 스릴러","미국, 독일",108분,"2015.10.01 재개봉,  2009.10.22 개봉"
본즈 앤 올,"공포, 멜로/로맨스",미국,131분,2022.11.30 개봉
더 셀,"공포, 스릴러, 판타지",미국,107분,2000.10.28 개봉
시실리 2km,"공포, 코미디",대한민국,109분,2004.08.13 개봉
이블 데드,공포,미국,85분,1989.09.02 개봉
여고괴담,"공포, 스릴러",대한민국,107분,1998.05.30 개봉
매드니스,"공포, 판타지, 미스터리, 스릴러",미국,95분,1995.03.18 개봉
데드 얼라이브,"공포, 코미디",뉴질랜드,85분,1996.08.14 개봉
불신지옥,"공포, 미스터리",대한민국,106분,2009.08.12 개봉
맨 인 더 다크,"공포, 스릴러",미국,88분,2016.10.05 개봉
스켈리톤 키,"공포, 스릴러, 드라마, 멜로/로맨스, 미스터리","미국, 독일",103분,2005.08.25 개봉
트라이앵글,"공포, 미스터리, 스릴러, 드라마","영국, 오스트레일리아",99분,2018.08.29 개봉
제인 도,공포,"영국, 미국",86분,2017.08.23 개봉
반교: 디텐션,공포,대만,103분,2020.08.13 개봉
하우스 오브 왁스,"공포, 스릴러","오스트레일리아, 미국",112분,2005.05.20 개봉
컨저링,"공포, 스릴러",미국,112분,2013.09.17 개봉
더 로드,"공포, 미스터리, 스릴러","프랑스, 미국",82분,2005.08.19 개봉
떼시스,"공포, 미스터리, 스릴러",스페인,125분,1997.11.22 개봉
에이리언 2020,"공포, SF, 스릴러","오스트레일리아, 미국",108분,2000.05.20 개봉
1408,"공포, 스릴러",미국,94분,2007.08.01 개봉
사일런트 힐,"공포, 스릴러, 판타지, 미스터리","캐나다, 일본, 미국, 프랑스",124분,2006.11.09 개봉
라스트 나잇 인 소호,"공포, 스릴러, 미스터리",영국,117분,2021.12.01 개봉
마마,"공포, 스릴러","스페인, 캐나다",100분,2013.01.23 개봉
어느날 갑자기 세번째 이야기 - D-day,공포,대한민국,92분,2006.08.03 개봉
스테이크 랜드,"공포, 액션",미국,98분,2012.08.09 개봉
클래식,"멜로/로맨스, 드라마",대한민국,132분,2003.01.30 개봉
사운드 오브 뮤직,"멜로/로맨스, 뮤지컬, 드라마",미국,172분,"2017.02.02 재개봉, 2012.01.23 재개봉, 1995.09.30 재개봉, 1978.02.04 재개봉,  1969.10.29 개봉"
타이타닉,"멜로/로맨스, 드라마",미국,194분,"2018.02.01 재개봉, 2012.04.05 재개봉,  1998.02.20 개봉"
"지금, 만나러 갑니다","멜로/로맨스, 드라마, 판타지",일본,118분,"2018.04.19 재개봉,  2005.03.25 개봉"
로망,멜로/로맨스,대한민국,112분,2019.04.03 개봉
플립,"멜로/로맨스, 드라마",미국,90분,"2021.04.21 재개봉,  2017.07.12 개봉"
소년시절의 너,"멜로/로맨스, 드라마, 범죄, 가족",중국,135분,"2021.04.22 재개봉, 2021.02.10 재개봉,  2020.07.09 개봉"
말할 수 없는 비밀,"멜로/로맨스, 판타지, 드라마",대만,101분,"2015.05.07 재개봉,  2008.01.10 개봉"
사랑과 영혼,"멜로/로맨스, 드라마",미국,127분,"2017.12.27 재개봉,  1990.11.24 개봉"
첫 키스만 50번째,"멜로/로맨스, 코미디",미국,99분,"2017.06.22 재개봉,  2004.04.15 개봉"
러브 앳,"멜로/로맨스, 코미디","프랑스, 벨기에",118분,2019.11.27 개봉
어바웃 타임,"멜로/로맨스, 코미디",영국,123분,2013.12.05 개봉
사랑의 블랙홀,"멜로/로맨스, 코미디, 판타지",미국,101분,1993.12.04 개봉
러브 어페어,"멜로/로맨스, 드라마",미국,108분,1995.03.11 개봉
첨밀밀,"멜로/로맨스, 드라마",홍콩,118분,1997.03.01 개봉
그해 여름,"멜로/로맨스, 드라마",대한민국,121분,2006.11.30 개봉
오직 그대만,멜로/로맨스,대한민국,105분,2011.10.20 개봉
이터널 선샤인,"멜로/로맨스, 드라마, SF",미국,107분,"2015.11.05 재개봉,  2005.11.10 개봉"
파이란,"멜로/로맨스, 드라마",대한민국,116분,"2021.11.18 재개봉,  2001.04.28 개봉"
노팅 힐,"멜로/로맨스, 코미디",영국,124분,"2019.04.17 재개봉,  1999.07.03 개봉"
너는 내 운명,"멜로/로맨스, 드라마",대한민국,121분,2005.09.23 개봉
이프 온리,"멜로/로맨스, 코미디, 드라마, 판타지","미국, 영국",96분,"2017.11.29 재개봉,  2004.10.29 개봉"
노트북,"멜로/로맨스, 드라마",미국,123분,"2020.11.04 재개봉, 2016.10.19 재개봉,  2004.11.26 개봉"
꽃다발 같은 사랑을 했다,멜로/로맨스,일본,123분,2021.07.14 개봉
당신이 잠든 사이에,"멜로/로맨스, 코미디, 가족",미국,103분,1995.05.13 개봉
더티 댄싱,"멜로/로맨스, 드라마",미국,100분,"2007.11.23 재개봉,  1988.01.01 개봉"
동감,"멜로/로맨스, 판타지",대한민국,111분,"2020.05.14 재개봉,  2000.05.27 개봉"
성원,"멜로/로맨스, 드라마",홍콩,95분,2000.01.15 개봉
블루 라군,"멜로/로맨스, 모험",미국,104분,1988.07.16 개봉
청설,"멜로/로맨스, 드라마",대만,109분,"2018.11.08 재개봉,  2010.06.17 개봉"
"그 시절, 우리가 좋아했던 소녀","멜로/로맨스, 드라마",대만,107분,"2021.04.29 재개봉, 2016.12.22 재개봉,  2012.08.22 개봉"
보디가드,액션,홍콩,92분,1994.08.06 개봉
연애소설,"멜로/로맨스, 드라마",대한민국,106분,2002.09.13 개봉
마법에 걸린 사랑,"멜로/로맨스, 드라마, 뮤지컬, 코미디",미국,106분,2008.01.10 개봉
내 이야기!!,"멜로/로맨스, 코미디",일본,105분,2018.04.12 개봉
번지 점프를 하다,멜로/로맨스,대한민국,101분,"2017.11.02 재개봉,  2001.02.03 개봉"
선물,"멜로/로맨스, 드라마",대한민국,110분,2001.03.24 개봉
오버 더 레인보우,멜로/로맨스,대한민국,109분,2002.05.17 개봉
윤희에게,멜로/로맨스,대한민국,105분,2019.11.14 개봉
"나는 내일, 어제의 너와 만난다","멜로/로맨스, 판타지",일본,110분,2017.10.12 개봉
러브 액츄얼리,"멜로/로맨스, 드라마, 코미디","영국, 미국",130분,"2021.12.23 재개봉, 2020.12.16 재개봉, 2019.12.18 재개봉, 2017.12.20 재개봉, 2015.12.17 재개봉, 2013.12.18 재개봉,  2003.12.05 개봉"
"다만, 널 사랑하고 있어","멜로/로맨스, 드라마",일본,116분,2007.08.15 개봉
에버 애프터,"멜로/로맨스, 코미디",미국,121분,1999.01.16 개봉
미드나잇 선,멜로/로맨스,미국,92분,2018.06.21 개봉
...ing,"멜로/로맨스, 드라마",대한민국,110분,2003.11.28 개봉
비포 선라이즈,"멜로/로맨스, 드라마","오스트리아, 미국",100분,"2016.04.07 재개봉,  1996.03.30 개봉"
내 머리 속의 지우개,"멜로/로맨스, 코미디, 드라마",대한민국,117분,2004.11.05 개봉
그 여자 작사 그 남자 작곡,"멜로/로맨스, 코미디",미국,103분,"2017.11.16 재개봉,  2007.02.28 개봉"
나의 소녀시대,"멜로/로맨스, 드라마",대만,134분,"2020.08.19 재개봉,  2016.05.11 개봉"
블랙북,"멜로/로맨스, 전쟁, 스릴러, 드라마","네덜란드, 영국, 독일",134분,2007.03.29 개봉
베일리 어게인,"모험, 코미디, 드라마",미국,100분,2018.11.22 개봉
나 홀로 집에,"모험, 범죄, 가족, 코미디",미국,105분,1991.07.06 개봉
알라딘,"애니메이션, 뮤지컬, 코미디, 가족, 모험, 드라마, 멜로/로맨스",미국,90분,1993.07.03 개봉
나 홀로 집에 2 - 뉴욕을 헤매다,"모험, 액션, 범죄, 스릴러, 코미디, 가족",미국,115분,1992.12.18 개봉
해리 포터와 죽음의 성물 - 2부,"모험, 판타지, 미스터리","영국, 미국",131분,2011.07.13 개봉
에이트 빌로우,"모험, 드라마, 가족",미국,120분,2006.04.06 개봉
미이라,"모험, 판타지, 액션, 공포, 스릴러, 코미디",미국,120분,1999.07.10 개봉
빠삐용,"모험, 범죄, 드라마","미국, 프랑스",150분,"2016.08.25 재개봉, 1990.09.29 재개봉,  1974 개봉"
쥬만지,"모험, 판타지, 가족, 액션, 코미디",미국,104분,1996.01.20 개봉
블러드 다이아몬드,"모험, 드라마, 스릴러","미국, 독일",142분,2007.01.11 개봉
버킷리스트: 죽기 전에 꼭 하고 싶은 것들,"모험, 코미디, 드라마",미국,97분,"2017.11.29 재개봉,  2008.04.09 개봉"
인디아나 존스 - 최후의 성전,"모험, 액션, 판타지",미국,127분,1989.07.22 개봉
구니스,"모험, 가족, 코미디, 스릴러",미국,115분,1986.07.19 개봉
볼트,"모험, 코미디, 가족, 판타지, 애니메이션",미국,96분,2008.12.31 개봉
진용,"모험, 액션, 멜로/로맨스",홍콩,97분,1990.12.15 개봉
인디아나 존스,"모험, 액션, 판타지",미국,118분,1985.05.08 개봉
곰돌이 푸 다시 만나 행복해,모험,미국,104분,2018.10.03 개봉
본 슈프리머시,"모험, 미스터리, 스릴러, 액션, 드라마","미국, 독일",110분,2004.08.20 개봉
킹콩,"모험, 판타지, 액션","뉴질랜드, 미국",186분,2005.12.14 개봉
스노우 워커,"모험, 드라마",캐나다,103분,2005.02.25 개봉
레이더스,"모험, 액션",미국,115분,1982.02.27 개봉
콜 오브 와일드,"모험, 드라마, 가족",미국,100분,2020.05.14 개봉
미이라 2,"모험, 액션, 스릴러, 공포, 판타지",미국,133분,2001.06.16 개봉
라이프 오브 파이,"모험, 드라마, 판타지",미국,127분,"2018.04.12 재개봉,  2013.01.01 개봉"
극장판 포켓몬스터 너로 정했다!,"모험, 가족, 애니메이션",일본,98분,2017.12.21 개봉
미션 임파서블 3,"모험, 미스터리, 액션, 스릴러",미국,124분,2006.05.03 개봉
극장판 원피스 스탬피드,"모험, 액션, 판타지, 애니메이션",일본,101분,2020.02.13 개봉
월터의 상상은 현실이 된다,"모험, 드라마, 판타지",미국,114분,"2017.12.27 재개봉,  2013.12.31 개봉"
포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,"모험, 판타지, 가족, 애니메이션",일본,95분,2016.12.22 개봉
극장판 도라에몽: 진구의 마계 대모험 7인의 마법사,"모험, 판타지, 가족, 애니메이션",일본,115분,2008.07.17 개봉
괴물,"모험, 액션, 스릴러, 코미디, 드라마, SF, 판타지",대한민국,119분,2006.07.27 개봉
더 폴: 오디어스와 환상의 문,"모험, 드라마, 판타지","인도, 영국, 미국",117분,2008.12.04 개봉
트래쉬,"모험, 드라마, 스릴러",영국,113분,2015.05.14 개봉
옥자,"모험, 액션, 드라마","대한민국, 미국",120분,2017.06.29 개봉
정글북,"모험, 드라마",미국,106분,2016.06.09 개봉
